name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,2385,-6223.53,684,6,13815.05,14366.28,17766.49
step_1,2385,-6211.19,570,5,13562.38,13921.22,16855.24
step_2,2385,-6258.09,457,4,13430.17,13647.41,16070.24
step_3,2385,-6350.85,344,3,13389.70,13506.06,15376.98
step_4,2385,-6491.83,230,2,13443.66,13492.99,14772.36
